brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
PROSPECT,Tênis Masculino Prospect Fly Academia Esporte Corrida Leve,69,90,44,73,4.3,(109)
,Tenis Menino Infantil Ad Escolar Esportivo Merks ,57,90,55,35,4.6,(515)
UNDER ARMOUR,Tênis Corrida Academia Treino Under Armour Charged Wing Se,349,89,34,99,,
ABUZZE,Tênis Masculino Airboost Eva,144,90,36,22,,
OLYMPIKUS,Tênis Olympikus Masculino Chroma Atividades Esportivas,199,99,179,99,4.6,(14)
OLYMPIKUS,Tenis Masculino Olympikus Bloco Corrida Confortável Original,259,89,32,49,,
,Tenis Olimp Esportivo Masculino Feminino Leve E Macio,64,90,6,31,4.1,(8799)
,Tênis Ecotênis Extra Leve Para Trabalho Caminhada Esportes,65,90,21,97,,
,Tênis Ecotênis Masculino Para Treino Academia Corrida Leve,64,90,21,63,,
MIZUNO,Mizuno Cool Ride Masculino Adultos,349,90,244,93,4.8,(960)
NEW BALANCE,Tênis New Balance Fresh Foam X More V5 Masculino Corrida,999,90,99,,,
,Tênis Ecotênis Corrida Sola Antiderrapante Esportivo Treino,62,90,6,11,,
NEW BALANCE,Tênis New Balance Masculino 500 V2 Corrida Original Estilo,399,99,38,78,,
OLYMPIKUS,Tenis Olympikus Masculino Mescla Esportivo,229,90,22,35,,
OLYMPIKUS,Tenis Esportivo Corrida Olympikus Bloco Confortável Original,264,95,33,12,,
NEW BALANCE,Tênis New Balance Fresh Foam Garoe V1 Pretolaranja Masculino,749,99,674,99,,
ADIDAS,Kit Tênis adidas Masculino Duramo Sl + Pochete De Corrida ,562,50,54,53,,
ADIDAS,Kit Tênis adidas Masculino Duramo Sl + Mochila E Garrafinha ,557,65,54,06,,
,Tenis Sapatilha Bike Pesca Corrida Academia Neoprene Confort,53,67,17,,4.6,(884)
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção ,78,99,61,61,4.4,(2969)
FILA,Tênis Fila Acd Classic Masculino Preto Promoção Pix,379,10,341,07,,
UNDER ARMOUR,Tênis Under Armour Masculino Adulto Caminhada Corrida Reps2,649,99,63,02,,
OLYMPIKUS,Olympikus Casual Soma Masculino Adultos,199,99,169,10,4.8,(24)
,Tenis Unissex Leve E Versátil Para Malhar Qualquer Ocasiao,161,25,145,12,,
,Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Top,169,90,152,91,4.6,(2354)
